time	V(V_Tout,Vcm)	V(V_tin,Vcm)
1.892504007943737e-03	2.732596e-01	1.409953e-01
1.892612088533727e-03	2.750840e-01	1.397482e-01
1.892828249713707e-03	2.788773e-01	1.376125e-01
1.893213675383741e-03	2.870270e-01	1.350767e-01
1.893418934364458e-03	2.917852e-01	1.329756e-01
1.893615442133880e-03	2.963348e-01	1.300774e-01
1.893752347114161e-03	2.995390e-01	1.283740e-01
1.893904178589211e-03	3.030031e-01	1.272804e-01
1.894037068149678e-03	3.059532e-01	1.277532e-01
1.894150349517403e-03	3.085192e-01	1.305011e-01
1.894294940876704e-03	3.117288e-01	1.370125e-01
1.894439013865703e-03	3.146357e-01	1.451772e-01
1.894574329902543e-03	3.172718e-01	1.533381e-01
1.894727268089625e-03	3.202348e-01	1.615897e-01
1.894867320243248e-03	3.229872e-01	1.667109e-01
1.895017406850859e-03	3.260820e-01	1.676980e-01
1.895182528966072e-03	3.297208e-01	1.623484e-01
1.895362656587455e-03	3.346578e-01	1.512412e-01
1.895491595123910e-03	3.385047e-01	1.412294e-01
1.895625524230350e-03	3.422475e-01	1.303503e-01
1.895765978442372e-03	3.460671e-01	1.208675e-01
1.895913571761249e-03	3.498601e-01	1.150929e-01
1.896064828938486e-03	3.536500e-01	1.158271e-01
1.896261359814730e-03	3.578858e-01	1.248599e-01
1.896441582297852e-03	3.603671e-01	1.370338e-01
1.896573131083810e-03	3.618190e-01	1.470873e-01
1.896706647381600e-03	3.630608e-01	1.564097e-01
1.896839339457832e-03	3.642843e-01	1.634936e-01
1.896944219892464e-03	3.655042e-01	1.666725e-01
1.897043896350589e-03	3.668343e-01	1.664735e-01
1.897143772451250e-03	3.681662e-01	1.622887e-01
1.897259851711086e-03	3.697748e-01	1.531158e-01
1.897390434917543e-03	3.720271e-01	1.397293e-01
1.897507691812979e-03	3.742926e-01	1.263648e-01
1.897626273073648e-03	3.764811e-01	1.129915e-01
1.897764716049695e-03	3.789543e-01	9.999429e-02
1.897905759093312e-03	3.814564e-01	9.222372e-02
1.898066660137495e-03	3.833921e-01	8.884470e-02
1.898191140702590e-03	3.838200e-01	8.722419e-02
1.898303809154789e-03	3.840251e-01	8.564319e-02
1.898477732044550e-03	3.834519e-01	8.228824e-02
1.898649315234745e-03	3.817025e-01	7.843810e-02
1.898818754422394e-03	3.797539e-01	7.588254e-02
1.899016722709130e-03	3.778951e-01	7.706198e-02
1.899214927439672e-03	3.754146e-01	8.377939e-02
1.899372046519220e-03	3.726596e-01	9.316309e-02
1.899514793036870e-03	3.698239e-01	1.036322e-01
1.899661048161959e-03	3.669066e-01	1.140678e-01
1.899815243376602e-03	3.640870e-01	1.226806e-01
1.899966929960341e-03	3.617119e-01	1.271174e-01
1.900150916375231e-03	3.599336e-01	1.290579e-01
1.900302270016831e-03	3.593099e-01	1.301215e-01
1.900486698432127e-03	3.588742e-01	1.312925e-01
1.900666831862784e-03	3.586424e-01	1.321661e-01
1.900861108815258e-03	3.585294e-01	1.321042e-01
1.901102766103076e-03	3.588223e-01	1.284453e-01
1.901222771971994e-03	3.590558e-01	1.220181e-01
1.901351250052112e-03	3.594538e-01	1.102397e-01
1.901481610676421e-03	3.601238e-01	9.632702e-02
1.901606621026077e-03	3.608257e-01	8.306472e-02
1.901772739252887e-03	3.615961e-01	6.865227e-02
1.901937277388006e-03	3.619875e-01	6.158435e-02
1.902118524544680e-03	3.609998e-01	6.430226e-02
1.902306357147559e-03	3.584290e-01	7.689735e-02
1.902463199818517e-03	3.554918e-01	9.237027e-02
1.902583853641403e-03	3.530990e-01	1.054821e-01
1.902705764092353e-03	3.508485e-01	1.178667e-01
1.902820896401544e-03	3.489376e-01	1.270793e-01
1.902937439331237e-03	3.470778e-01	1.317421e-01
1.903092627669649e-03	3.449220e-01	1.298251e-01
1.903284909045676e-03	3.440181e-01	1.194684e-01
1.903440862699735e-03	3.444088e-01	1.069529e-01
1.903560351968718e-03	3.444922e-01	9.557427e-02
1.903680727693006e-03	3.445160e-01	8.476543e-02
1.903820721176796e-03	3.444813e-01	7.511693e-02
1.903955037225128e-03	3.443611e-01	7.076102e-02
1.904117837591424e-03	3.435181e-01	7.152155e-02
1.904290551919812e-03	3.414760e-01	7.618272e-02
1.904427953880454e-03	3.394945e-01	8.175820e-02
1.904562946838655e-03	3.375572e-01	8.806987e-02
1.904711109129293e-03	3.353833e-01	9.448335e-02
1.904847908305802e-03	3.334616e-01	9.894669e-02
1.904978047617295e-03	3.317756e-01	1.013778e-01
1.905118189092241e-03	3.303372e-01	1.033764e-01
1.905226052853749e-03	3.294524e-01	1.057646e-01
1.905364770157875e-03	3.283891e-01	1.100599e-01
1.905524300739853e-03	3.272572e-01	1.155251e-01
1.905697205188962e-03	3.261902e-01	1.206653e-01
1.905944838740450e-03	3.254888e-01	1.261659e-01
